Time,Force,Displacement,Strain 1
(s),(kN),(mm),(mm/mm)
475,1.2109,1.9946,0.023694000000000003
476,1.213,1.9987,0.023746
477,1.2151,2.0029,0.023798
478,1.2174,2.0068,0.023846
479,1.2194,2.0107,0.023896
480,1.2214,2.0148,0.023947
481,1.2236,2.0187,0.023996
482,1.2256,2.0227,0.024045
483,1.2277,2.0268,0.024097
484,1.2296,2.0308,0.024146
485,1.2318,2.0349,0.024198
486,1.2337,2.0387,0.024245000000000003
487,1.2356,2.0426,0.024293999999999996
488,1.2376,2.0468,0.024346
489,1.2396,2.0505,0.024392999999999998
490,1.2415,2.0546,0.024443000000000003
491,1.2435,2.0589,0.024498000000000002
492,1.2458,2.0629,0.024547
493,1.2476,2.0667,0.024595
494,1.2495,2.0709,0.024647000000000002
495,1.2516,2.0748,0.024695
496,1.2534,2.0786,0.024743
497,1.2553,2.0828,0.024794999999999998
498,1.2572,2.0868,0.024845000000000002
499,1.2592,2.0909,0.024897
500,1.2611,2.0947,0.024945
501,1.2627,2.0987,0.024994000000000002
502,1.2647,2.1029,0.025046
503,1.2666,2.1067,0.025093999999999998
504,1.2683,2.1107,0.025144000000000003
505,1.2703,2.115,0.025198
506,1.2723,2.1189,0.025246
507,1.2739,2.1227,0.025293999999999997
508,1.2757,2.1268,0.025346
509,1.2774,2.1307,0.025394
510,1.2792,2.1346,0.025442
511,1.2809,2.1388,0.025495
512,1.2827,2.1428,0.025544999999999998
513,1.2846,2.147,0.025596999999999998
514,1.2864,2.1509,0.025646
515,1.288,2.1548,0.025693999999999998
516,1.2896,2.1589,0.025746
517,1.2915,2.1627,0.025793
518,1.2929,2.1667,0.025842999999999998
519,1.2947,2.171,0.025897
520,1.2965,2.1749,0.025945999999999997
521,1.2979,2.1787,0.025992
522,1.2995,2.1829,0.026045
523,1.3012,2.1868,0.026094
524,1.3027,2.1906,0.026142
525,1.3043,2.1948,0.026194000000000002
526,1.3059,2.1988,0.026244
527,1.3075,2.2029,0.026295000000000002
528,1.309,2.2067,0.026343000000000002
529,1.3104,2.2106,0.026391
530,1.312,2.2148,0.026442999999999998
531,1.3135,2.2186,0.026490999999999997
532,1.3149,2.2226,0.026541000000000002
533,1.3163,2.2269,0.026595
534,1.318,2.231,0.026646
535,1.3193,2.2348,0.026692999999999998
536,1.3207,2.2389,0.026745
537,1.3221,2.2428,0.026793
538,1.3235,2.2467,0.026842
539,1.3249,2.2508,0.026894
540,1.3262,2.2548,0.026943
541,1.3274,2.2589,0.026995
542,1.3287,2.2627,0.027042
543,1.3298,2.2666,0.02709
544,1.3311,2.2708,0.027143
545,1.3324,2.2747,0.027191
546,1.3334,2.2786,0.02724
547,1.3347,2.2829,0.027294
548,1.3361,2.287,0.027345
549,1.337,2.2906,0.027389999999999998
550,1.3381,2.2948,0.027442
551,1.3392,2.2987,0.027490999999999998
552,1.3401,2.3025,0.027538999999999998
553,1.341,2.3067,0.027591
554,1.3421,2.3108,0.027643
555,1.3431,2.315,0.027694999999999997
556,1.3441,2.3189,0.027743000000000004
557,1.3447,2.3228,0.027791
558,1.3455,2.3268,0.027842
559,1.3463,2.3306,0.02789
560,1.3469,2.3346,0.02794
561,1.3476,2.3389,0.027993
562,1.3485,2.3429,0.028044
563,1.349,2.3466,0.028089
564,1.3495,2.3508,0.028142
565,1.3499,2.3547,0.028191
566,1.3503,2.3587,0.028239999999999998
567,1.3507,2.3628,0.028291
568,1.351,2.3668,0.028340999999999998
569,1.3512,2.371,0.028394
570,1.3516,2.3748,0.028441
571,1.3514,2.3786,0.028489
572,1.3514,2.3827,0.02854
573,1.3515,2.3867,0.028589000000000003
574,1.3514,2.3905,0.028637000000000003
575,1.3512,2.3949,0.028692000000000002
576,1.3514,2.3991,0.028744000000000002
577,1.351,2.4027,0.02879
578,1.3505,2.4069,0.028842
579,1.3502,2.4108,0.028891
580,1.3496,2.4146,0.028939
581,1.3489,2.4188,0.028991
582,1.3484,2.4228,0.029041
583,1.3477,2.4269,0.029091999999999996
584,1.3469,2.4308,0.029140000000000003
585,1.346,2.4347,0.029189
586,1.3451,2.4388,0.02924
587,1.3441,2.4428,0.029289999999999997
588,1.343,2.4467,0.029338000000000003
589,1.3419,2.4509,0.029390999999999997
590,1.3409,2.455,0.029442
591,1.3396,2.4586,0.029488
592,1.3381,2.4628,0.02954
593,1.3368,2.4667,0.029588999999999997
594,1.3355,2.4706,0.029638
595,1.3341,2.4747,0.029689
596,1.3327,2.4788,0.029740000000000003
597,1.3312,2.483,0.029792
598,1.3298,2.487,0.029842
599,1.3282,2.4908,0.029889000000000002
600,1.3266,2.4949,0.02994
601,1.3251,2.4989,0.029990000000000003
602,1.3234,2.5026,0.030036999999999998
603,1.3218,2.5069,0.03009
604,1.3204,2.5111,0.030143
605,1.3188,2.5147,0.030187
606,1.317,2.5188,0.030239
